Country/Region,Region,Year,Business Tax Rate,Days to Start Business,Ease of Business,Hours to do Tax,Lending Interest
Algeria,Africa,12/1/2000,0,0,0,0,0.1
Angola,Africa,12/1/2000,0,0,0,0,1.032
Benin,Africa,12/1/2000,0,0,0,0,0
Botswana,Africa,12/1/2000,0,0,0,0,0.155
Burkina Faso,Africa,12/1/2000,0,0,0,0,0
Burundi,Africa,12/1/2000,0,0,0,0,0.158
Cameroon,Africa,12/1/2000,0,0,0,0,0.22
Central African Republic,Africa,12/1/2000,0,0,0,0,0.22
Chad,Africa,12/1/2000,0,0,0,0,0.22
Comoros,Africa,12/1/2000,0,0,0,0,0.12
Congo (Kinshasa),Africa,12/1/2000,0,0,0,0,0
Congo (Brazzaville),Africa,12/1/2000,0,0,0,0,0.22
Cote d'Ivoire,Africa,12/1/2000,0,0,0,0,0
Djibouti,Africa,12/1/2000,0,0,0,0,0
Egypt,Africa,12/1/2000,0,0,0,0,0.132
Equatorial Guinea,Africa,12/1/2000,0,0,0,0,0.22
Eritrea,Africa,12/1/2000,0,0,0,0,0
Ethiopia,Africa,12/1/2000,0,0,0,0,0.109
Gabon,Africa,12/1/2000,0,0,0,0,0.22
"Gambia, The",Africa,12/1/2000,0,0,0,0,0.24
Ghana,Africa,12/1/2000,0,0,0,0,0
Guinea,Africa,12/1/2000,0,0,0,0,0.194
Guinea-Bissau,Africa,12/1/2000,0,0,0,0,0
Kenya,Africa,12/1/2000,0,0,0,0,0.223
Lesotho,Africa,12/1/2000,0,0,0,0,0.171
Liberia,Africa,12/1/2000,0,0,0,0,0.205
Libya,Africa,12/1/2000,0,0,0,0,0.07
Madagascar,Africa,12/1/2000,0,0,0,0,0.265
Malawi,Africa,12/1/2000,0,0,0,0,0.531
Mali,Africa,12/1/2000,0,0,0,0,0
Mauritania,Africa,12/1/2000,0,0,0,0,0.256
Mauritius,Africa,12/1/2000,0,0,0,0,0.208
Morocco,Africa,12/1/2000,0,0,0,0,0.133
Mozambique,Africa,12/1/2000,0,0,0,0,0.19
Namibia,Africa,12/1/2000,0,0,0,0,0.153
Niger,Africa,12/1/2000,0,0,0,0,0
Nigeria,Africa,12/1/2000,0,0,0,0,0.213
Rwanda,Africa,12/1/2000,0,0,0,0,0.17
Sao Tome and Principe,Africa,12/1/2000,0,0,0,0,0.397
Senegal,Africa,12/1/2000,0,0,0,0,0
Seychelles,Africa,12/1/2000,0,0,0,0,0.107
Sierra Leone,Africa,12/1/2000,0,0,0,0,0.263
Somalia,Africa,12/1/2000,0,0,0,0,0
South Africa,Africa,12/1/2000,0,0,0,0,0.145
South Sudan,Africa,12/1/2000,0,0,0,0,0
Sudan,Africa,12/1/2000,0,0,0,0,0
Swaziland,Africa,12/1/2000,0,0,0,0,0.14
Tanzania,Africa,12/1/2000,0,0,0,0,0.216
Togo,Africa,12/1/2000,0,0,0,0,0
Tunisia,Africa,12/1/2000,0,0,0,0,0
Uganda,Africa,12/1/2000,0,0,0,0,0.229
Zambia,Africa,12/1/2000,0,0,0,0,0.388
Zimbabwe,Africa,12/1/2000,0,0,0,0,0.682
Afghanistan,Asia,12/1/2000,0,0,0,0,0
Armenia,Asia,12/1/2000,0,0,0,0,0.316
Azerbaijan,Asia,12/1/2000,0,0,0,0,0.197
Bangladesh,Asia,12/1/2000,0,0,0,0,0.155
Bhutan,Asia,12/1/2000,0,0,0,0,0.16
Brunei,Asia,12/1/2000,0,0,0,0,0.055
Cambodia,Asia,12/1/2000,0,0,0,0,0
China,Asia,12/1/2000,0,0,0,0,0.059
Georgia,Asia,12/1/2000,0,0,0,0,0.247
Hong Kong SAR,Asia,12/1/2000,0,0,0,0,0.095
India,Asia,12/1/2000,0,0,0,0,0.123
Indonesia,Asia,12/1/2000,0,0,0,0,0.185
Japan,Asia,12/1/2000,0,0,0,0,0.021
Kazakhstan,Asia,12/1/2000,0,0,0,0,0
North Korea,Asia,12/1/2000,0,0,0,0,0
South Korea,Asia,12/1/2000,0,0,0,0,0.085
Kyrgyzstan,Asia,12/1/2000,0,0,0,0,0.519
Laos,Asia,12/1/2000,0,0,0,0,0.32
Macao SAR,Asia,12/1/2000,0,0,0,0,0.099
Malaysia,Asia,12/1/2000,0,0,0,0,0.077
Maldives,Asia,12/1/2000,0,0,0,0,0.13
Mongolia,Asia,12/1/2000,0,0,0,0,0.37
Myanmar,Asia,12/1/2000,0,0,0,0,0.153
Nepal,Asia,12/1/2000,0,0,0,0,0.095
Pakistan,Asia,12/1/2000,0,0,0,0,0
Philippines,Asia,12/1/2000,0,0,0,0,0.109
Singapore,Asia,12/1/2000,0,0,0,0,0.058
Sri Lanka,Asia,12/1/2000,0,0,0,0,0.162
Tajikistan,Asia,12/1/2000,0,0,0,0,0.256
Thailand,Asia,12/1/2000,0,0,0,0,0.078
Timor-Leste,Asia,12/1/2000,0,0,0,0,0
Turkmenistan,Asia,12/1/2000,0,0,0,0,0
Uzbekistan,Asia,12/1/2000,0,0,0,0,0
Vietnam,Asia,12/1/2000,0,0,0,0,0.106
Albania,Europe,12/1/2000,0,0,0,0,0.221
Andorra,Europe,12/1/2000,0,0,0,0,0
Austria,Europe,12/1/2000,0,0,0,0,0
Belarus,Europe,12/1/2000,0,0,0,0,0.677
Belgium,Europe,12/1/2000,0,0,0,0,0.08
Bosnia and Herzegovina,Europe,12/1/2000,0,0,0,0,0.305
Bulgaria,Europe,12/1/2000,0,0,0,0,0.113
Croatia,Europe,12/1/2000,0,0,0,0,0.121
Cyprus,Europe,12/1/2000,0,0,0,0,0.08
Czech Republic,Europe,12/1/2000,0,0,0,0,0.072
