Country/Region,Region,Year,CO2 Emissions,Energy Usage,GDP,Internet Usage,Mobile Phone Usage,Tourism Inbound,Tourism Outbound
Algeria,Africa,12/1/2000,87931,26998,$55B,1%,0%,$0B,$0B
Angola,Africa,12/1/2000,9542,7499,$9B,0%,0%,$0B,$0B
Benin,Africa,12/1/2000,1617,1983,$2B,0%,1%,$0B,$0B
Botswana,Africa,12/1/2000,4276,1836,$6B,3%,13%,$0B,$0B
Burkina Faso,Africa,12/1/2000,1041,,$3B,0%,0%,$0B,$0B
Burundi,Africa,12/1/2000,301,,$1B,0%,0%,$0B,$0B
Cameroon,Africa,12/1/2000,3432,6310,$9B,0%,1%,$0B,$0B
Central African Republic,Africa,12/1/2000,268,,$1B,0%,0%,$0B,$0B
Chad,Africa,12/1/2000,176,,$1B,0%,0%,$0B,$0B
Comoros,Africa,12/1/2000,84,,$0B,0%,,$0B,
Congo (Kinshasa),Africa,12/1/2000,1646,16679,$19B,0%,0%,,
Congo (Brazzaville),Africa,12/1/2000,1049,814,$3B,0%,2%,$0B,$0B
Cote d'Ivoire,Africa,12/1/2000,6791,6734,$10B,0%,3%,$0B,$0B
Djibouti,Africa,12/1/2000,403,,$1B,0%,0%,$0B,$0B
Egypt,Africa,12/1/2000,141326,40658,$100B,1%,2%,$5B,$1B
Equatorial Guinea,Africa,12/1/2000,455,,$1B,0%,1%,$0B,$0B
Eritrea,Africa,12/1/2000,609,708,$1B,0%,,$0B,
Ethiopia,Africa,12/1/2000,5831,25242,$8B,0%,0%,$0B,$0B
Gabon,Africa,12/1/2000,1052,1463,$5B,1%,10%,$0B,$0B
"Gambia, The",Africa,12/1/2000,275,,$1B,1%,1%,,
Ghana,Africa,12/1/2000,6289,7736,$5B,0%,1%,$0B,$0B
Guinea,Africa,12/1/2000,1280,,$3B,0%,1%,$0B,$0B
Guinea-Bissau,Africa,12/1/2000,147,,$0B,0%,,,
Kenya,Africa,12/1/2000,10418,14055,$13B,0%,0%,$1B,$0B
Lesotho,Africa,12/1/2000,,,$1B,0%,1%,$0B,$0B
Liberia,Africa,12/1/2000,436,,$1B,0%,0%,,
Libya,Africa,12/1/2000,47114,15901,$34B,0%,1%,$0B,$0B
Madagascar,Africa,12/1/2000,1874,,$4B,0%,0%,$0B,$0B
Malawi,Africa,12/1/2000,906,,$2B,0%,0%,$0B,$0B
Mali,Africa,12/1/2000,543,,$2B,0%,0%,$0B,$0B
Mauritania,Africa,12/1/2000,1236,,$1B,0%,1%,,
Mauritius,Africa,12/1/2000,2769,,$5B,7%,15%,$1B,$0B
Morocco,Africa,12/1/2000,33905,10238,$37B,1%,8%,$2B,$1B
Mozambique,Africa,12/1/2000,1349,7173,$4B,0%,0%,$0B,$0B
Namibia,Africa,12/1/2000,1643,978,$4B,2%,4%,$0B,$0B
Niger,Africa,12/1/2000,796,,$2B,0%,0%,$0B,$0B
Nigeria,Africa,12/1/2000,79182,90596,$46B,0%,0%,$0B,$1B
Rwanda,Africa,12/1/2000,686,,$2B,0%,1%,$0B,$0B
Sao Tome and Principe,Africa,12/1/2000,48,,$0B,5%,,$0B,$0B
Senegal,Africa,12/1/2000,3938,2398,$5B,0%,3%,$0B,$0B
Seychelles,Africa,12/1/2000,565,,$1B,7%,33%,$0B,$0B
Sierra Leone,Africa,12/1/2000,425,,$1B,0%,0%,$0B,$0B
Somalia,Africa,12/1/2000,517,,,0%,1%,,
South Africa,Africa,12/1/2000,368611,109264,$133B,5%,19%,$3B,$3B
South Sudan,Africa,12/1/2000,,,,,,,
Sudan,Africa,12/1/2000,5534,13340,$12B,0%,0%,$0B,$0B
Swaziland,Africa,12/1/2000,1188,,$2B,1%,3%,$0B,$0B
Tanzania,Africa,12/1/2000,2651,13390,$10B,0%,0%,$0B,$0B
Togo,Africa,12/1/2000,1357,2111,$1B,1%,1%,$0B,$0B
Tunisia,Africa,12/1/2000,19923,7306,$21B,3%,1%,$2B,$0B
Uganda,Africa,12/1/2000,1533,,$6B,0%,1%,$0B,
Zambia,Africa,12/1/2000,1819,6244,$3B,0%,1%,$0B,$0B
Zimbabwe,Africa,12/1/2000,13887,9865,$7B,0%,2%,$0B,
Afghanistan,Asia,12/1/2000,781,,,,,,
Armenia,Asia,12/1/2000,3465,2015,$2B,1%,1%,$0B,$0B
Azerbaijan,Asia,12/1/2000,29508,11296,$5B,0%,5%,$0B,$0B
Bangladesh,Asia,12/1/2000,27869,18591,$47B,0%,0%,$0B,$0B
Bhutan,Asia,12/1/2000,400,,$0B,0%,,$0B,
Brunei,Asia,12/1/2000,6527,2385,$6B,9%,29%,,
Cambodia,Asia,12/1/2000,1977,3412,$4B,0%,1%,$0B,$0B
China,Asia,12/1/2000,3405180,1161353,"$1,200B",2%,7%,$17B,$14B
Georgia,Asia,12/1/2000,4536,2869,$3B,1%,4%,$0B,$0B
Hong Kong SAR,Asia,12/1/2000,40465,13392,$172B,28%,80%,$8B,$13B
India,Asia,12/1/2000,1186663,457198,$477B,1%,0%,$4B,$4B
Indonesia,Asia,12/1/2000,263419,154768,$165B,1%,2%,$5B,$3B
Japan,Asia,12/1/2000,1219589,518964,"$4,730B",30%,53%,$6B,$43B
Kazakhstan,Asia,12/1/2000,127769,35679,$18B,1%,1%,$0B,$0B
North Korea,Asia,12/1/2000,76699,19717,,,,,
South Korea,Asia,12/1/2000,447561,188161,$562B,45%,58%,$9B,$8B
Kyrgyzstan,Asia,12/1/2000,4529,2317,$1B,1%,0%,$0B,$0B
Laos,Asia,12/1/2000,972,,$2B,0%,0%,$0B,$0B
Macao SAR,Asia,12/1/2000,1635,,$6B,14%,33%,$3B,
Malaysia,Asia,12/1/2000,126603,47110,$94B,21%,22%,$6B,$3B
Maldives,Asia,12/1/2000,499,,$1B,2%,3%,$0B,$0B
Mongolia,Asia,12/1/2000,7506,2397,$1B,1%,6%,$0B,$0B
Myanmar,Asia,12/1/2000,10088,12841,,,0%,$0B,$0B
