Country/Region,Region,Year,Health Exp % GDP,Health Exp/Capita,Infant Mortality Rate,Life Expectancy Female,Life Expectancy Male
Algeria,Africa,12/1/2000,3.50%,$60 ,0.034,71,67
Angola,Africa,12/1/2000,3.40%,$22 ,0.128,47,44
Benin,Africa,12/1/2000,4.30%,$15 ,0.09,57,53
Botswana,Africa,12/1/2000,4.70%,$152 ,0.054,52,49
Burkina Faso,Africa,12/1/2000,5.10%,$12 ,0.096,52,49
Burundi,Africa,12/1/2000,6.30%,$7 ,0.092,49,47
Cameroon,Africa,12/1/2000,4.40%,$26 ,0.093,53,51
Central African Republic,Africa,12/1/2000,4.30%,$11 ,0.113,45,42
Chad,Africa,12/1/2000,6.30%,$10 ,0.106,48,46
Comoros,Africa,12/1/2000,3.50%,$13 ,0.073,59,56
Congo (Kinshasa),Africa,12/1/2000,4.80%,$14 ,0.115,48,45
Congo (Brazzaville),Africa,12/1/2000,2.10%,$22 ,0.077,53,51
Cote d'Ivoire,Africa,12/1/2000,6.50%,$42 ,0.1,47,46
Djibouti,Africa,12/1/2000,5.80%,$44 ,0.08,59,55
Egypt,Africa,12/1/2000,5.40%,$79 ,0.036,71,66
Equatorial Guinea,Africa,12/1/2000,2.40%,$57 ,0.099,49,46
Eritrea,Africa,12/1/2000,4.50%,$7 ,0.058,58,54
Ethiopia,Africa,12/1/2000,4.30%,$5 ,0.09,53,51
Gabon,Africa,12/1/2000,2.90%,$118 ,0.056,61,59
"Gambia, The",Africa,12/1/2000,4.50%,$29 ,0.063,56,54
Ghana,Africa,12/1/2000,4.80%,$13 ,0.065,58,56
Guinea,Africa,12/1/2000,5.60%,$19 ,0.103,51,51
Guinea-Bissau,Africa,12/1/2000,4.90%,$16 ,0.109,53,50
Kenya,Africa,12/1/2000,4.70%,$19 ,0.069,54,52
Lesotho,Africa,12/1/2000,6.90%,$29 ,0.081,48,47
Liberia,Africa,12/1/2000,5.90%,$11 ,0.119,53,52
Libya,Africa,12/1/2000,3.40%,$252 ,0.024,74,70
Madagascar,Africa,12/1/2000,5.00%,$12 ,0.071,60,57
Malawi,Africa,12/1/2000,6.10%,$9 ,0.103,46,46
Mali,Africa,12/1/2000,6.30%,$16 ,0.116,49,49
Mauritania,Africa,12/1/2000,6.00%,$24 ,0.076,61,58
Mauritius,Africa,12/1/2000,3.70%,$146 ,0.016,75,68
Morocco,Africa,12/1/2000,4.20%,$54 ,0.043,70,67
Mozambique,Africa,12/1/2000,6.20%,$15 ,0.114,49,46
Namibia,Africa,12/1/2000,6.10%,$126 ,0.049,57,53
Niger,Africa,12/1/2000,6.40%,$10 ,0.101,51,51
Nigeria,Africa,12/1/2000,4.60%,$17 ,0.113,47,46
Rwanda,Africa,12/1/2000,4.20%,$9 ,0.108,49,47
Sao Tome and Principe,Africa,12/1/2000,8.90%,$46 ,0.058,65,62
Senegal,Africa,12/1/2000,4.60%,$22 ,0.069,59,56
Seychelles,Africa,12/1/2000,4.80%,$371 ,0.012,0,0
Sierra Leone,Africa,12/1/2000,18.40%,$28 ,0.141,39,37
Somalia,Africa,12/1/2000,0,0,0.105,52,49
South Africa,Africa,12/1/2000,8.30%,$246 ,0.052,58,54
South Sudan,Africa,12/1/2000,0,0,0.11,50,48
Sudan,Africa,12/1/2000,3.40%,$15 ,0.069,60,56
Swaziland,Africa,12/1/2000,5.30%,$75 ,0.08,49,48
Tanzania,Africa,12/1/2000,3.40%,$10 ,0.08,51,49
Togo,Africa,12/1/2000,5.30%,$14 ,0.077,54,53
Tunisia,Africa,12/1/2000,5.40%,$123 ,0.026,75,71
Uganda,Africa,12/1/2000,6.60%,$16 ,0.089,48,48
Zambia,Africa,12/1/2000,5.60%,$18 ,0.1,42,42
Zimbabwe,Africa,12/1/2000,0,0,0.061,44,44
Afghanistan,Asia,12/1/2000,0,0,0.095,56,54
Armenia,Asia,12/1/2000,6.30%,$39 ,0.027,75,68
Azerbaijan,Asia,12/1/2000,4.70%,$30 ,0.061,70,64
Bangladesh,Asia,12/1/2000,2.80%,$10 ,0.064,66,65
Bhutan,Asia,12/1/2000,6.70%,$52 ,0.059,60,60
Brunei,Asia,12/1/2000,3.00%,$543 ,0.008,78,74
Cambodia,Asia,12/1/2000,6.30%,$19 ,0.082,65,59
China,Asia,12/1/2000,4.60%,$43 ,0.03,74,71
Georgia,Asia,12/1/2000,6.90%,$45 ,0.031,75,68
Hong Kong SAR,Asia,12/1/2000,0,0,0,84,78
India,Asia,12/1/2000,4.30%,$20 ,0.067,63,61
Indonesia,Asia,12/1/2000,2.00%,$15 ,0.041,69,65
Japan,Asia,12/1/2000,7.60%,"$2,834 ",0.003,85,78
Kazakhstan,Asia,12/1/2000,4.20%,$52 ,0.038,71,60
North Korea,Asia,12/1/2000,0,0,0.045,69,61
South Korea,Asia,12/1/2000,4.30%,$491 ,0.005,80,72
Kyrgyzstan,Asia,12/1/2000,4.70%,$13 ,0.042,72,65
Laos,Asia,12/1/2000,3.30%,$11 ,0.083,63,60
Macao SAR,Asia,12/1/2000,0,0,0,80,75
Malaysia,Asia,12/1/2000,3.00%,$120 ,0.009,75,71
Maldives,Asia,12/1/2000,7.10%,$162 ,0.035,70,69
Mongolia,Asia,12/1/2000,4.70%,$22 ,0.049,66,60
Myanmar,Asia,12/1/2000,2.10%,$3 ,0.059,64,60
Nepal,Asia,12/1/2000,5.00%,$12 ,0.06,63,61
Pakistan,Asia,12/1/2000,3.00%,$15 ,0.088,65,63
Philippines,Asia,12/1/2000,3.20%,$33 ,0.03,70,64
Singapore,Asia,12/1/2000,2.70%,$662 ,0.003,80,76
Sri Lanka,Asia,12/1/2000,3.70%,$32 ,0.014,75,68
Tajikistan,Asia,12/1/2000,4.60%,$6 ,0.075,68,60
Thailand,Asia,12/1/2000,3.40%,$67 ,0.019,75,67
Timor-Leste,Asia,12/1/2000,5.10%,$19 ,0.084,61,58
Turkmenistan,Asia,12/1/2000,3.90%,$44 ,0.066,68,60
Uzbekistan,Asia,12/1/2000,5.30%,$29 ,0.053,70,64
Vietnam,Asia,12/1/2000,5.30%,$20 ,0.027,78,69
Albania,Europe,12/1/2000,6.40%,$70 ,0.023,77,71
Andorra,Europe,12/1/2000,6.20%,"$1,330 ",0.004,0,0
Austria,Europe,12/1/2000,10.00%,"$2,403 ",0.005,81,75
Belarus,Europe,12/1/2000,6.10%,$64 ,0.011,75,63
Belgium,Europe,12/1/2000,8.10%,"$1,845 ",0.005,81,75
Bosnia and Herzegovina,Europe,12/1/2000,7.10%,$103 ,0.008,77,72
Bulgaria,Europe,12/1/2000,6.20%,$98 ,0.018,75,68
Croatia,Europe,12/1/2000,7.80%,$377 ,0.007,77,69
Cyprus,Europe,12/1/2000,5.80%,$744 ,0.006,80,76
Czech Republic,Europe,12/1/2000,6.30%,$361 ,0.006,78,72
Denmark,Europe,12/1/2000,8.70%,"$2,613 ",0.005,79,74
Estonia,Europe,12/1/2000,5.30%,$213 ,0.009,76,65
Faeroe Islands,Europe,12/1/2000,0,0,0,82,76
Finland,Europe,12/1/2000,7.20%,"$1,700 ",0.004,81,74
France,Europe,12/1/2000,10.10%,"$2,209 ",0.004,83,75
Germany,Europe,12/1/2000,10.40%,"$2,387 ",0.004,81,75
Greece,Europe,12/1/2000,7.90%,$918 ,0.007,81,75
Hungary,Europe,12/1/2000,7.20%,$326 ,0.01,76,67
Iceland,Europe,12/1/2000,9.50%,"$2,961 ",0.003,82,78
Ireland,Europe,12/1/2000,6.10%,"$1,572 ",0.006,79,74
Isle of Man,Europe,12/1/2000,0,0,0,0,0
Italy,Europe,12/1/2000,7.90%,"$1,527 ",0.005,83,77
Kosovo,Europe,12/1/2000,0,0,0,70,66
Latvia,Europe,12/1/2000,6.00%,$197 ,0.015,76,65
