Country/Region,Region,Year,Birth Rate,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban
Algeria,Africa,12/1/2000,2.00%,0.342,0.619,0.039,31.7M,59.90%
Angola,Africa,12/1/2000,5.00%,0.476,0.499,0.025,13.9M,32.40%
Benin,Africa,12/1/2000,4.30%,0.454,0.517,0.029,6.9M,38.30%
Botswana,Africa,12/1/2000,2.70%,0.383,0.587,0.029,1.8M,53.20%
Burkina Faso,Africa,12/1/2000,4.60%,0.468,0.505,0.028,11.6M,17.80%
Burundi,Africa,12/1/2000,4.20%,0.49,0.481,0.029,6.7M,8.20%
Cameroon,Africa,12/1/2000,4.10%,0.453,0.513,0.034,15.9M,45.50%
Central African Republic,Africa,12/1/2000,3.90%,0.423,0.537,0.04,3.6M,37.60%
Chad,Africa,12/1/2000,5.10%,0.49,0.482,0.028,8.3M,21.60%
Comoros,Africa,12/1/2000,3.90%,0.415,0.554,0.031,0.5M,28.10%
Congo (Kinshasa),Africa,12/1/2000,4.80%,0.464,0.507,0.028,46.9M,35.10%
Congo (Brazzaville),Africa,12/1/2000,3.90%,0.419,0.545,0.036,3.1M,58.70%
Cote d'Ivoire,Africa,12/1/2000,3.80%,0.421,0.55,0.029,16.1M,43.50%
Djibouti,Africa,12/1/2000,3.00%,0.414,0.556,0.03,0.7M,76.50%
Egypt,Africa,12/1/2000,2.50%,0.354,0.592,0.053,66.1M,42.80%
Equatorial Guinea,Africa,12/1/2000,4.00%,0.426,0.537,0.037,0.5M,38.80%
Eritrea,Africa,12/1/2000,4.00%,0.47,0.512,0.018,3.9M,17.60%
Ethiopia,Africa,12/1/2000,4.40%,0.466,0.503,0.031,66.0M,14.70%
Gabon,Africa,12/1/2000,3.40%,0.406,0.535,0.059,1.2M,80.10%
"Gambia, The",Africa,12/1/2000,4.50%,0.459,0.514,0.027,1.2M,47.90%
Ghana,Africa,12/1/2000,3.50%,0.414,0.556,0.03,18.8M,43.90%
Guinea,Africa,12/1/2000,4.20%,0.44,0.525,0.034,8.7M,31.00%
Guinea-Bissau,Africa,12/1/2000,4.20%,0.435,0.534,0.031,1.3M,36.70%
Kenya,Africa,12/1/2000,3.90%,0.442,0.531,0.028,31.3M,19.90%
Lesotho,Africa,12/1/2000,3.10%,0.412,0.543,0.045,1.9M,19.50%
Liberia,Africa,12/1/2000,4.30%,0.432,0.537,0.031,2.9M,44.30%
Libya,Africa,12/1/2000,2.20%,0.333,0.628,0.039,5.2M,76.30%
Madagascar,Africa,12/1/2000,4.10%,0.455,0.515,0.03,15.7M,27.10%
Malawi,Africa,12/1/2000,4.50%,0.458,0.511,0.031,11.3M,14.60%
Mali,Africa,12/1/2000,4.80%,0.461,0.504,0.035,10.3M,28.40%
Mauritania,Africa,12/1/2000,3.80%,0.428,0.54,0.032,2.7M,49.20%
Mauritius,Africa,12/1/2000,1.70%,0.258,0.681,0.061,1.2M,42.70%
Morocco,Africa,12/1/2000,2.20%,0.341,0.613,0.047,28.7M,53.30%
Mozambique,Africa,12/1/2000,4.40%,0.438,0.53,0.032,18.3M,29.10%
Namibia,Africa,12/1/2000,3.20%,0.405,0.562,0.033,1.9M,32.40%
Niger,Africa,12/1/2000,5.30%,0.479,0.495,0.025,11.0M,16.20%
Nigeria,Africa,12/1/2000,4.30%,0.435,0.537,0.028,122.9M,34.80%
Rwanda,Africa,12/1/2000,4.10%,0.466,0.505,0.03,8.4M,14.90%
Sao Tome and Principe,Africa,12/1/2000,3.60%,0.44,0.52,0.04,0.1M,53.40%
Senegal,Africa,12/1/2000,4.00%,0.451,0.517,0.032,9.9M,40.30%
Seychelles,Africa,12/1/2000,1.90%,0.282,0.637,0.081,0.1M,50.10%
Sierra Leone,Africa,12/1/2000,4.40%,0.43,0.546,0.025,4.1M,35.60%
Somalia,Africa,12/1/2000,4.90%,0.472,0.499,0.029,7.4M,33.20%
South Africa,Africa,12/1/2000,2.40%,0.33,0.636,0.034,44.0M,56.90%
South Sudan,Africa,12/1/2000,4.30%,0.447,0.523,0.03,6.7M,16.50%
Sudan,Africa,12/1/2000,4.00%,0.437,0.533,0.03,27.7M,32.50%
Swaziland,Africa,12/1/2000,3.30%,0.446,0.524,0.029,1.1M,22.70%
Tanzania,Africa,12/1/2000,4.20%,0.448,0.523,0.029,34.0M,22.30%
Togo,Africa,12/1/2000,3.90%,0.442,0.529,0.029,4.9M,32.90%
Tunisia,Africa,12/1/2000,1.70%,0.298,0.641,0.06,9.6M,63.40%
Uganda,Africa,12/1/2000,4.80%,0.493,0.481,0.027,24.3M,12.10%
Zambia,Africa,12/1/2000,4.50%,0.457,0.515,0.027,10.1M,34.80%
Zimbabwe,Africa,12/1/2000,3.20%,0.422,0.545,0.034,12.5M,33.80%
Afghanistan,Asia,12/1/2000,5.00%,0.495,0.485,0.02,20.6M,21.30%
Armenia,Asia,12/1/2000,1.30%,0.259,0.641,0.1,3.1M,64.70%
Azerbaijan,Asia,12/1/2000,1.50%,0.311,0.633,0.056,8.0M,51.40%
Bangladesh,Asia,12/1/2000,2.70%,0.37,0.59,0.041,132.4M,23.60%
Bhutan,Asia,12/1/2000,2.80%,0.406,0.556,0.038,0.6M,25.40%
Brunei,Asia,12/1/2000,2.30%,0.304,0.668,0.028,0.3M,71.20%
Cambodia,Asia,12/1/2000,2.80%,0.408,0.554,0.038,12.2M,18.60%
